"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年11月10日","7.41","7.50","7.51","7.37","27.77M","-1.27%"
"2020年11月9日","7.50","7.37","7.53","7.37","32.98M","2.12%"
"2020年11月6日","7.35","7.36","7.38","7.26","30.93M","-0.19%"
"2020年11月5日","7.36","7.32","7.37","7.28","34.69M","1.56%"
"2020年11月4日","7.25","7.17","7.25","7.14","20.40M","1.17%"
"2020年11月3日","7.16","7.11","7.17","7.09","18.82M","0.96%"
"2020年11月2日","7.09","6.97","7.13","6.97","19.51M","1.79%"
"2020年10月30日","6.97","7.12","7.14","6.95","26.77M","-2.45%"
"2020年10月29日","7.14","6.94","7.16","6.91","26.29M","1.93%"
"2020年10月28日","7.01","6.93","7.04","6.89","18.83M","1.23%"
"2020年10月27日","6.93","6.84","6.93","6.84","16.02M","0.83%"
"2020年10月26日","6.87","6.80","6.90","6.72","21.48M","0.44%"
"2020年10月23日","6.84","6.97","7.02","6.82","28.22M","-2.01%"
"2020年10月22日","6.98","7.00","7.00","6.90","14.28M","-0.54%"
"2020年10月21日","7.02","7.06","7.07","6.97","22.46M","-0.55%"
"2020年10月20日","7.05","6.92","7.05","6.92","15.64M","1.63%"
"2020年10月19日","6.94","7.03","7.07","6.93","16.25M","-0.73%"
"2020年10月16日","6.99","7.03","7.08","6.95","20.08M","-0.68%"
"2020年10月15日","7.04","7.05","7.10","7.04","15.67M","-0.28%"
"2020年10月14日","7.06","7.11","7.11","7.04","12.07M","-0.68%"
"2020年10月13日","7.11","7.03","7.13","6.99","20.92M","0.95%"
"2020年10月12日","7.04","6.85","7.04","6.85","66.48M","3.18%"
"2020年10月9日","6.82","6.76","6.85","6.76","19.52M","2.91%"
"2020年9月30日","6.63","6.66","6.71","6.60","15.12M","0.00%"
"2020年9月29日","6.63","6.59","6.66","6.56","20.26M","1.07%"
"2020年9月28日","6.56","6.58","6.61","6.55","9.70M","-0.08%"
"2020年9月25日","6.57","6.57","6.61","6.54","23.36M","0.17%"
"2020年9月24日","6.55","6.62","6.64","6.55","20.30M","-1.92%"
"2020年9月23日","6.68","6.63","6.70","6.60","16.30M","0.98%"
"2020年9月22日","6.62","6.65","6.72","6.60","20.92M","-0.81%"
"2020年9月21日","6.67","6.78","6.78","6.67","18.12M","-1.19%"
"2020年9月18日","6.75","6.62","6.76","6.61","24.82M","1.96%"
"2020年9月17日","6.62","6.62","6.68","6.56","22.24M","-0.29%"
"2020年9月16日","6.64","6.71","6.71","6.61","15.74M","-0.95%"
"2020年9月15日","6.70","6.64","6.72","6.62","15.08M","0.87%"
"2020年9月14日","6.65","6.65","6.69","6.60","14.32M","0.24%"
"2020年9月11日","6.63","6.53","6.63","6.51","15.60M","1.53%"
"2020年9月10日","6.53","6.58","6.66","6.51","23.34M","0.00%"
"2020年9月9日","6.53","6.68","6.68","6.48","35.58M","-3.24%"
"2020年9月8日","6.75","6.75","6.79","6.68","27.62M","0.00%"
"2020年9月7日","6.75","6.93","6.99","6.73","30.35M","-3.18%"
"2020年9月4日","6.97","6.92","6.99","6.89","28.63M","-1.23%"
"2020年9月3日","7.06","7.11","7.14","7.03","26.72M","-0.73%"
"2020年9月2日","7.11","7.11","7.14","7.03","25.39M","0.38%"
"2020年9月1日","7.09","7.03","7.09","7.00","16.51M","0.61%"
"2020年8月31日","7.04","7.14","7.20","7.03","34.90M","-1.10%"
"2020年8月28日","7.12","6.89","7.13","6.88","38.77M","3.01%"
"2020年8月27日","6.91","6.86","6.91","6.82","14.62M","0.83%"
"2020年8月26日","6.86","6.94","7.01","6.83","26.23M","-1.38%"
"2020年8月25日","6.95","6.95","7.01","6.93","21.49M","0.30%"
"2020年8月24日","6.93","6.85","6.95","6.81","21.98M","1.64%"
"2020年8月21日","6.82","6.74","6.85","6.74","25.29M","1.47%"
"2020年8月20日","6.72","6.76","6.78","6.69","29.31M","-1.07%"
"2020年8月19日","6.79","6.91","6.91","6.78","27.88M","-1.85%"
"2020年8月18日","6.92","6.92","6.95","6.88","22.04M","-0.07%"
"2020年8月17日","6.93","6.83","6.95","6.82","81.83M","1.54%"
"2020年8月14日","6.82","6.67","6.82","6.65","25.58M","2.19%"
"2020年8月13日","6.67","6.71","6.76","6.65","18.14M","-0.27%"
"2020年8月12日","6.69","6.76","6.78","6.57","32.54M","-1.08%"
